Signature matrix with CIBERSORTx based on the scRNA-seq study (ALLEN BRAIN MAP)																			
The "1" values in the expression matrix txt files are genes with insufficient evidence of expression (these genes are either not expressed or have inadequate statistical power to be imputed).																			
NAME	LAMP5	VIP	PAX6	Oligodendrocyte	Astrocyte	L5/6_IT_Car3	L5/6_NP	IT	SST	L6_CT	OPC	L6b	PVALB	Microglia	L5_ET	Pericyte	Endothelial	L4_IT	VLMC
APOA1BP	1	1	8.014663918	1	1	1	1	1	1	1	1	2.977024921	7.610204843	1	1	177.4035529	1	1	1
APOD	1	1	1	863.2751184	1	1	1	1	1	1	1087.926558	9.115346016	1	1	1	2970.351364	1	1	1267.357561
APOE	1	1	1	1	186.0211835	1	1	1	1	1	30.43397984	1	1	167.6068911	1	1	1	1	125.9718201
APOL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	82.91565449
APOL6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	92.98952837	1	1
APOLD1	1	1	1	62.9699067	1	1	1	1	1	1	1	1	1	1	1	77.29928749	535.9095313	1	1
APOPT1	7.733104115	8.189414595	7.527608671	1	1	9.48057304	5.181532425	2.796798296	1	2.431375677	1	4.106437582	1	1	3.424887477	43.50915632	1	2.976261279	379.8735217
AQP4	1	1	1	1	953.9410233	1	1	1	1	1	1	1	1	1	1	1	1	8.048882951	1
ARAP3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	148.4945565	1	1
ARHGAP1	1	1	1	197.5882506	12.42629929	1	1	1	1	1	17.85677064	1	1	1	1	1	1	1	99.36496611
ARHGAP10	1	1	1	1	1	6.207970114	1	28.78592051	9.745778744	4.967933429	199.3145279	1	1	1	1	589.8745725	1	14.00581455	243.7185753
ARHGAP15	1	1	1	1	1	9.605552047	1	1	1	11.52424208	1	1	1	1569.030128	1.540894594	1	1	1	1
ARHGAP18	1	134.0643105	1	1	1	85.29122262	14.31527475	9.058115106	9.234966374	1	1	12.3929208	8.78246847	1	1	1	191.3167641	1	1
ARHGAP22	1	1	7.553293445	230.3577251	1	29.22276161	18.09615348	18.20069151	1	89.41029188	187.6744845	115.9002232	9.05910387	2078.839101	67.69123504	1	1	12.27064741	1
ARHGAP23	1	1	1	203.7860349	35.73721258	1	2.806235622	1	7.753058018	2.44751104	1	1	3.509726092	1	1	1	1	1	33.2871891
ARHGAP24	12.1933818	172.7896869	1	1	2550.201434	8.783872202	4.116073701	9.142970853	33.57887354	1	1	1.558998778	29.16541973	5947.195684	1	100.9046131	1	1	84.29533779
ARHGAP25	1	1	1	1	1	1	1	1	1	1	1	1	1	375.0217118	1	1	1	1	1
ARHGAP27	1	1	1	1	1	1	1	1	1	1	1	1	1	142.5520603	1	1	70.50263024	1	1
ARHGAP28	1	124.3437432	34.81745639	1	1	1	1	1	38.10252908	1	1	1	1	1	1	1	1	1	1
ARHGAP29	1	1	1	1	30.23675902	1	129.5942815	39.15067825	1	1	1	1	30.23675902	1	12.71160479	1893.553771	932.1172332	30.55951011	1281.157777
ARHGAP31	66.7940742	1	1	1	268.5797585	1	1	1	1	1	331.5364324	1	1	335.3413276	1	1	355.2834818	1	129.4587538
ARHGAP42	40.05147319	18.39225292	114.4753178	1	169.0064915	1	1	1	1	1	282.6712251	1	110.8354154	1	1	424.771368	1	1	284.950632
